Run A	Run B	A and B originally	A and B after aligning	From A	From Refs with alignment	From Refs without alignment
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01308_D04_P013387_B00_N28_R1	-1.0	-1.0	-1.0	0.407034789639	1.00900739553
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01075_C02_P010693_S00_N11_R1	2.1596875	0.443709092886	0.495326752856	0.405709634568	5.02222660556
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01075_B03_P010693_S00_N18_R1	-1.0	-1.0	-1.0	0.565226969906	4.45792307597
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01308_E04_P013387_B00_N29_R1	-1.0	-1.0	-1.0	0.310728084651	1.0592298996
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01308_E01_P013387_B00_N05_R1	2.58161363636	0.526541739092	0.536484353822	0.388604557419	1.98782011174
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01075_D02_P010693_S00_N12_R1	2.19072727273	0.44603914575	0.469639853919	0.409262367281	4.82348100854
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01075_E04_P010693_S00_N29_R1	-1.0	-1.0	-1.0	0.625228286727	3.80197669585
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01308_C05_P013387_B00_N35_R1	-1.0	-1.0	-1.0	0.289829149447	1.63103638487
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01308_F03_P013387_B00_N22_R1	-1.0	-1.0	-1.0	0.291618016002	1.53511655437
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01075_E01_P010693_S00_N05_R1	0.267595375723	0.23889068947	0.129774724532	0.446647232507	4.26402354895
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01308_C01_P013387_B00_N03_R1	-1.0	-1.0	-1.0	0.389394259415	0.978217508319
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01308_G01_P013387_B00_N07_R1	-1.0	-1.0	-1.0	0.366985421385	3.38731101521
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01075_H01_P010693_S00_N08_R1	0.768707602339	0.541318727452	0.555325963546	0.899960403794	4.96834522922
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01308_G04_P013387_B00_N31_R1	-1.0	-1.0	-1.0	0.406252385728	1.07001169854
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01308_B05_P013387_B00_N34_R1	-1.0	-1.0	-1.0	0.46106155354	1.64704258921
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01308_D03_P013387_B00_N20_R1	-1.0	-1.0	-1.0	0.317475392734	1.87324399018
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01075_B01_P010693_S00_N02_R1	-1.0	-1.0	-1.0	0.486081414475	2.34022550858
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01075_C01_P010693_S00_N03_R1	1.1558097561	0.290605675458	0.26992240346	0.537497387064	3.98065716923
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01075_F04_P010693_S00_N30_R1	-1.0	-1.0	-1.0	0.629302993597	3.88482254453
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01075_B05_P010693_S00_N34_R1	-1.0	-1.0	-1.0	0.397798715861	3.50332050269
run_A, run_B =	01075_F01_P010693_S00_N06_R1	01308_D02_P013387_B00_N12_R1	-1.0	-1.0	-1.0	0.425108624526	3.38524584271
